Country,Factors,Value
Nicaragua,Health (Life Expectancy),0.65213
Nicaragua,Freedom,0.46582
Nicaragua,Trust (Government Corruption),0.16292
Nicaragua,Generosity,0.29773
Uzbekistan,Economy (GDP per Capita),0.73591
Uzbekistan,Family,1.1681
Uzbekistan,Health (Life Expectancy),0.50163
Uzbekistan,Freedom,0.60848
Uzbekistan,Trust (Government Corruption),0.28333
Uzbekistan,Generosity,0.34326
Italy,Economy (GDP per Capita),1.35495
Italy,Family,1.04167
Italy,Health (Life Expectancy),0.85102
Italy,Freedom,0.18827
Italy,Trust (Government Corruption),0.02556
Italy,Generosity,0.16684
Ecuador,Economy (GDP per Capita),0.97306
Ecuador,Family,0.85974
Ecuador,Health (Life Expectancy),0.68613
Ecuador,Freedom,0.4027
Ecuador,Trust (Government Corruption),0.18037
Ecuador,Generosity,0.10074
Belize,Economy (GDP per Capita),0.87616
Belize,Family,0.68655
Belize,Health (Life Expectancy),0.45569
Belize,Freedom,0.51231
Belize,Trust (Government Corruption),0.10771
Belize,Generosity,0.23684
Japan,Economy (GDP per Capita),1.38007
Japan,Family,1.06054
Japan,Health (Life Expectancy),0.91491
Japan,Freedom,0.46761
Japan,Trust (Government Corruption),0.18985
Japan,Generosity,0.10224
Kazakhstan,Economy (GDP per Capita),1.22943
Kazakhstan,Family,0.95544
Kazakhstan,Health (Life Expectancy),0.57386
Kazakhstan,Freedom,0.4052
Kazakhstan,Trust (Government Corruption),0.11132
Kazakhstan,Generosity,0.15011
Moldova,Economy (GDP per Capita),0.69177
Moldova,Family,0.83132
Moldova,Health (Life Expectancy),0.52309
Moldova,Freedom,0.25202
Moldova,Trust (Government Corruption),0.01903
Moldova,Generosity,0.19997
Russia,Economy (GDP per Capita),1.23228
Russia,Family,1.05261
Russia,Health (Life Expectancy),0.58991
Russia,Freedom,0.32682
Russia,Trust (Government Corruption),0.03586
Russia,Generosity,0.02736
Poland,Economy (GDP per Capita),1.24585
Poland,Family,1.04685
Poland,Health (Life Expectancy),0.69058
Poland,Freedom,0.4519
Poland,Trust (Government Corruption),0.055
Poland,Generosity,0.14443
South Korea,Economy (GDP per Capita),1.35948
South Korea,Family,0.72194
South Korea,Health (Life Expectancy),0.88645
South Korea,Freedom,0.25168
South Korea,Trust (Government Corruption),0.07716
South Korea,Generosity,0.18824
Bolivia,Economy (GDP per Capita),0.79422
Bolivia,Family,0.83779
Bolivia,Health (Life Expectancy),0.4697
Bolivia,Freedom,0.50961
Bolivia,Trust (Government Corruption),0.07746
Bolivia,Generosity,0.21698
Lithuania,Economy (GDP per Capita),1.2692
Lithuania,Family,1.06411
Lithuania,Health (Life Expectancy),0.64674
Lithuania,Freedom,0.18929
Lithuania,Trust (Government Corruption),0.0182
Lithuania,Generosity,0.02025
Belarus,Economy (GDP per Capita),1.13062
Belarus,Family,1.04993
Belarus,Health (Life Expectancy),0.63104
Belarus,Freedom,0.29091
Belarus,Trust (Government Corruption),0.17457
Belarus,Generosity,0.13942
North Cyprus,Economy (GDP per Capita),1.31141
North Cyprus,Family,0.81826
North Cyprus,Health (Life Expectancy),0.84142
North Cyprus,Freedom,0.43596
North Cyprus,Trust (Government Corruption),0.16578
North Cyprus,Generosity,0.26322
Slovenia,Economy (GDP per Capita),1.29947
Slovenia,Family,1.05613
Slovenia,Health (Life Expectancy),0.79151
Slovenia,Freedom,0.53164
Slovenia,Trust (Government Corruption),0.03635
Slovenia,Generosity,0.25738
Peru,Economy (GDP per Capita),0.99602
Peru,Family,0.81255
Peru,Health (Life Expectancy),0.62994
Peru,Freedom,0.37502
Peru,Trust (Government Corruption),0.05292
Peru,Generosity,0.14527
Turkmenistan,Economy (GDP per Capita),1.08017
Turkmenistan,Family,1.03817
Turkmenistan,Health (Life Expectancy),0.44006
Turkmenistan,Freedom,0.37408
Turkmenistan,Trust (Government Corruption),0.28467
Turkmenistan,Generosity,0.22567
Mauritius,Economy (GDP per Capita),1.14372
Mauritius,Family,0.75695
Mauritius,Health (Life Expectancy),0.66189
Mauritius,Freedom,0.46145
Mauritius,Trust (Government Corruption),0.05203
Mauritius,Generosity,0.36951
Libya,Economy (GDP per Capita),1.06688
Libya,Family,0.95076
Libya,Health (Life Expectancy),0.52304
Libya,Freedom,0.40672
Libya,Trust (Government Corruption),0.10339
Libya,Generosity,0.17087
Latvia,Economy (GDP per Capita),1.21788
Latvia,Family,0.95025
Latvia,Health (Life Expectancy),0.63952
Latvia,Freedom,0.27996
Latvia,Trust (Government Corruption),0.0889
Latvia,Generosity,0.17445
Cyprus,Economy (GDP per Capita),1.31857
Cyprus,Family,0.70697
Cyprus,Health (Life Expectancy),0.8488
Cyprus,Freedom,0.29507
Cyprus,Trust (Government Corruption),0.05228
Cyprus,Generosity,0.27906
Paraguay,Economy (GDP per Capita),0.89373
Paraguay,Family,1.11111
Paraguay,Health (Life Expectancy),0.58295
Paraguay,Freedom,0.46235
Paraguay,Trust (Government Corruption),0.07396
Paraguay,Generosity,0.25296
Romania,Economy (GDP per Capita),1.1697
Romania,Family,0.72803
Romania,Health (Life Expectancy),0.67602
Romania,Freedom,0.36712
Romania,Trust (Government Corruption),0.00679
Romania,Generosity,0.12889
Estonia,Economy (GDP per Capita),1.27964
Estonia,Family,1.05163
Estonia,Health (Life Expectancy),0.68098
Estonia,Freedom,0.41511
Estonia,Trust (Government Corruption),0.18519
Estonia,Generosity,0.08423
Jamaica,Economy (GDP per Capita),0.89333
Jamaica,Family,0.96372
Jamaica,Health (Life Expectancy),0.59469
Jamaica,Freedom,0.43597
Jamaica,Trust (Government Corruption),0.04294
Jamaica,Generosity,0.22245
Croatia,Economy (GDP per Capita),1.18649
Croatia,Family,0.60809
Croatia,Health (Life Expectancy),0.70524
Croatia,Freedom,0.23907
Croatia,Trust (Government Corruption),0.04002
Croatia,Generosity,0.18434
Hong Kong,Economy (GDP per Capita),1.5107
Hong Kong,Family,0.87021
Hong Kong,Health (Life Expectancy),0.95277
Hong Kong,Freedom,0.48079
Hong Kong,Trust (Government Corruption),0.31647
Hong Kong,Generosity,0.40097
Somalia,Economy (GDP per Capita),0
Somalia,Family,0.33613
Somalia,Health (Life Expectancy),0.11466
Somalia,Freedom,0.56778
Somalia,Trust (Government Corruption),0.3118
Somalia,Generosity,0.27225
Kosovo,Economy (GDP per Capita),0.90145
Kosovo,Family,0.66062
Kosovo,Health (Life Expectancy),0.54
Kosovo,Freedom,0.14396
Kosovo,Trust (Government Corruption),0.06547
Kosovo,Generosity,0.27992
Turkey,Economy (GDP per Capita),1.16492
Turkey,Family,0.87717
Turkey,Health (Life Expectancy),0.64718
Turkey,Freedom,0.23889
Turkey,Trust (Government Corruption),0.12348
Turkey,Generosity,0.04707
Indonesia,Economy (GDP per Capita),0.95104
Indonesia,Family,0.87625
Indonesia,Health (Life Expectancy),0.49374
Indonesia,Freedom,0.39237
Indonesia,Trust (Government Corruption),0.00322
Indonesia,Generosity,0.56521
Jordan,Economy (GDP per Capita),0.99673
Jordan,Family,0.86216
Jordan,Health (Life Expectancy),0.60712
Jordan,Freedom,0.36023
Jordan,Trust (Government Corruption),0.13297
Jordan,Generosity,0.14262
Azerbaijan,Economy (GDP per Capita),1.12373
Azerbaijan,Family,0.76042
Azerbaijan,Health (Life Expectancy),0.54504
Azerbaijan,Freedom,0.35327
Azerbaijan,Trust (Government Corruption),0.17914
Azerbaijan,Generosity,0.0564
Philippines,Economy (GDP per Capita),0.81217
Philippines,Family,0.87877
Philippines,Health (Life Expectancy),0.47036
Philippines,Freedom,0.54854
Philippines,Trust (Government Corruption),0.11757
Philippines,Generosity,0.21674
China,Economy (GDP per Capita),1.0278
China,Family,0.79381
China,Health (Life Expectancy),0.73561
China,Freedom,0.44012
China,Trust (Government Corruption),0.02745
China,Generosity,0.04959
Bhutan,Economy (GDP per Capita),0.8527
Bhutan,Family,0.90836
Bhutan,Health (Life Expectancy),0.49759
Bhutan,Freedom,0.46074
Bhutan,Trust (Government Corruption),0.1616
Bhutan,Generosity,0.48546
Kyrgyzstan,Economy (GDP per Capita),0.56044
Kyrgyzstan,Family,0.95434
Kyrgyzstan,Health (Life Expectancy),0.55449
Kyrgyzstan,Freedom,0.40212
Kyrgyzstan,Trust (Government Corruption),0.04762
Kyrgyzstan,Generosity,0.38432
Serbia,Economy (GDP per Capita),1.03437
Serbia,Family,0.81329
Serbia,Health (Life Expectancy),0.6458
Serbia,Freedom,0.15718
Serbia,Trust (Government Corruption),0.04339
Serbia,Generosity,0.20737
Bosnia and Herzegovina,Economy (GDP per Capita),0.93383
Bosnia and Herzegovina,Family,0.64367
Bosnia and Herzegovina,Health (Life Expectancy),0.70766
Bosnia and Herzegovina,Freedom,0.09511
Bosnia and Herzegovina,Trust (Government Corruption),0
Bosnia and Herzegovina,Generosity,0.29889
Montenegro,Economy (GDP per Capita),1.07838
Montenegro,Family,0.74173
Montenegro,Health (Life Expectancy),0.63533
Montenegro,Freedom,0.15111
Montenegro,Trust (Government Corruption),0.12721
Montenegro,Generosity,0.17191
Dominican Republic,Economy (GDP per Capita),1.02787
Dominican Republic,Family,0.99496
Dominican Republic,Health (Life Expectancy),0.57669
Dominican Republic,Freedom,0.52259
Dominican Republic,Trust (Government Corruption),0.12372
Dominican Republic,Generosity,0.21286
Morocco,Economy (GDP per Capita),0.84058
Morocco,Family,0.38595
Morocco,Health (Life Expectancy),0.59471
Morocco,Freedom,0.25646
Morocco,Trust (Government Corruption),0.08404
Morocco,Generosity,0.04053
Hungary,Economy (GDP per Capita),1.24142
Hungary,Family,0.93164
Hungary,Health (Life Expectancy),0.67608
Hungary,Freedom,0.1977
Hungary,Trust (Government Corruption),0.04472
Hungary,Generosity,0.099
Pakistan,Economy (GDP per Capita),0.68816
Pakistan,Family,0.26135
Pakistan,Health (Life Expectancy),0.40306
Pakistan,Freedom,0.14622
Pakistan,Trust (Government Corruption),0.1388
Pakistan,Generosity,0.31185
Lebanon,Economy (GDP per Capita),1.12268
Lebanon,Family,0.64184
Lebanon,Health (Life Expectancy),0.76171
Lebanon,Freedom,0.26228
Lebanon,Trust (Government Corruption),0.03061
Lebanon,Generosity,0.23693
Portugal,Economy (GDP per Capita),1.27607
Portugal,Family,0.94367
Portugal,Health (Life Expectancy),0.79363
Portugal,Freedom,0.44727
Portugal,Trust (Government Corruption),0.01521
Portugal,Generosity,0.11691
Macedonia,Economy (GDP per Capita),1.0193
Macedonia,Family,0.78236
Macedonia,Health (Life Expectancy),0.64738
Macedonia,Freedom,0.27668
Macedonia,Trust (Government Corruption),0.07047
Macedonia,Generosity,0.23507
Vietnam,Economy (GDP per Capita),0.74037
Vietnam,Family,0.79117
Vietnam,Health (Life Expectancy),0.66157
Vietnam,Freedom,0.55954
Vietnam,Trust (Government Corruption),0.11556
Vietnam,Generosity,0.25075
Somaliland Region,Economy (GDP per Capita),0.25558
Somaliland Region,Family,0.75862
Somaliland Region,Health (Life Expectancy),0.33108
Somaliland Region,Freedom,0.3913
Somaliland Region,Trust (Government Corruption),0.36794
Somaliland Region,Generosity,0.51479
Tunisia,Economy (GDP per Capita),0.97724
Tunisia,Family,0.43165
Tunisia,Health (Life Expectancy),0.59577
Tunisia,Freedom,0.23553
Tunisia,Trust (Government Corruption),0.0817
Tunisia,Generosity,0.03936
Greece,Economy (GDP per Capita),1.24886
Greece,Family,0.75473
Greece,Health (Life Expectancy),0.80029
Greece,Freedom,0.05822
Greece,Trust (Government Corruption),0.04127
Greece,Generosity,0
Tajikistan,Economy (GDP per Capita),0.48835
Tajikistan,Family,0.75602
Tajikistan,Health (Life Expectancy),0.53119
Tajikistan,Freedom,0.43408
Tajikistan,Trust (Government Corruption),0.13509
Tajikistan,Generosity,0.25998
Mongolia,Economy (GDP per Capita),0.98853
Mongolia,Family,1.08983
Mongolia,Health (Life Expectancy),0.55469
Mongolia,Freedom,0.35972
Mongolia,Trust (Government Corruption),0.03285
Mongolia,Generosity,0.34539
Laos,Economy (GDP per Capita),0.68042
Laos,Family,0.5497
Laos,Health (Life Expectancy),0.38291
Laos,Freedom,0.52168
Laos,Trust (Government Corruption),0.22423
Laos,Generosity,0.43079
Nigeria,Economy (GDP per Capita),0.75216
Nigeria,Family,0.64498
Nigeria,Health (Life Expectancy),0.05108
Nigeria,Freedom,0.27854
Nigeria,Trust (Government Corruption),0.0305
Nigeria,Generosity,0.23219
Honduras,Economy (GDP per Capita),0.69429
Honduras,Family,0.75596
Honduras,Health (Life Expectancy),0.58383
Honduras,Freedom,0.26755
Honduras,Trust (Government Corruption),0.06906
Honduras,Generosity,0.2044
Iran,Economy (GDP per Capita),1.11758
Iran,Family,0.38857
Iran,Health (Life Expectancy),0.64232
Iran,Freedom,0.22544
Iran,Trust (Government Corruption),0.0557
Iran,Generosity,0.38538
Zambia,Economy (GDP per Capita),0.61202
Zambia,Family,0.6376
Zambia,Health (Life Expectancy),0.23573
Zambia,Freedom,0.42662
Zambia,Trust (Government Corruption),0.11479
Zambia,Generosity,0.17866
Nepal,Economy (GDP per Capita),0.44626
Nepal,Family,0.69699
Nepal,Health (Life Expectancy),0.50073
Nepal,Freedom,0.37012
Nepal,Trust (Government Corruption),0.07008
Nepal,Generosity,0.3816
Palestinian Territories,Economy (GDP per Capita),0.67024
Palestinian Territories,Family,0.71629
Palestinian Territories,Health (Life Expectancy),0.56844
Palestinian Territories,Freedom,0.17744
Palestinian Territories,Trust (Government Corruption),0.10613
Palestinian Territories,Generosity,0.11154
Albania,Economy (GDP per Capita),0.9553
Albania,Family,0.50163
Albania,Health (Life Expectancy),0.73007
Albania,Freedom,0.31866
Albania,Trust (Government Corruption),0.05301
Albania,Generosity,0.1684
Bangladesh,Economy (GDP per Capita),0.54177
Bangladesh,Family,0.24749
Bangladesh,Health (Life Expectancy),0.52989
Bangladesh,Freedom,0.39778
Bangladesh,Trust (Government Corruption),0.12583
Bangladesh,Generosity,0.19132
Sierra Leone,Economy (GDP per Capita),0.36485
Sierra Leone,Family,0.628
Sierra Leone,Health (Life Expectancy),0
Sierra Leone,Freedom,0.30685
Sierra Leone,Trust (Government Corruption),0.08196
Sierra Leone,Generosity,0.23897
Iraq,Economy (GDP per Capita),1.07474
Iraq,Family,0.59205
Iraq,Health (Life Expectancy),0.51076
Iraq,Freedom,0.24856
Iraq,Trust (Government Corruption),0.13636
Iraq,Generosity,0.19589
Namibia,Economy (GDP per Capita),0.93287
Namibia,Family,0.70362
Namibia,Health (Life Expectancy),0.34745
Namibia,Freedom,0.48614
Namibia,Trust (Government Corruption),0.10398
Namibia,Generosity,0.07795
Cameroon,Economy (GDP per Capita),0.52497
Cameroon,Family,0.62542
Cameroon,Health (Life Expectancy),0.12698
Cameroon,Freedom,0.42736
Cameroon,Trust (Government Corruption),0.06126
Cameroon,Generosity,0.2268
Ethiopia,Economy (GDP per Capita),0.29283
Ethiopia,Family,0.37932
Ethiopia,Health (Life Expectancy),0.34578
Ethiopia,Freedom,0.36703
Ethiopia,Trust (Government Corruption),0.1717
Ethiopia,Generosity,0.29522
South Africa,Economy (GDP per Capita),1.02416
South Africa,Family,0.96053
South Africa,Health (Life Expectancy),0.18611
South Africa,Freedom,0.42483
South Africa,Trust (Government Corruption),0.08415
South Africa,Generosity,0.13656
Sri Lanka,Economy (GDP per Capita),0.97318
Sri Lanka,Family,0.84783
Sri Lanka,Health (Life Expectancy),0.62007
Sri Lanka,Freedom,0.50817
Sri Lanka,Trust (Government Corruption),0.07964
Sri Lanka,Generosity,0.46978
India,Economy (GDP per Capita),0.74036
India,Family,0.29247
India,Health (Life Expectancy),0.45091
India,Freedom,0.40285
India,Trust (Government Corruption),0.08722
India,Generosity,0.25028
Myanmar,Economy (GDP per Capita),0.34112
Myanmar,Family,0.69981
Myanmar,Health (Life Expectancy),0.3988
Myanmar,Freedom,0.42692
Myanmar,Trust (Government Corruption),0.20243
Myanmar,Generosity,0.81971
Egypt,Economy (GDP per Capita),0.95395
Egypt,Family,0.49813
Egypt,Health (Life Expectancy),0.52116
Egypt,Freedom,0.18847
Egypt,Trust (Government Corruption),0.10393
Egypt,Generosity,0.12706
Armenia,Economy (GDP per Capita),0.86086
Armenia,Family,0.62477
Armenia,Health (Life Expectancy),0.64083
Armenia,Freedom,0.14037
Armenia,Trust (Government Corruption),0.03616
Armenia,Generosity,0.07793
Kenya,Economy (GDP per Capita),0.52267
Kenya,Family,0.7624
Kenya,Health (Life Expectancy),0.30147
Kenya,Freedom,0.40576
Kenya,Trust (Government Corruption),0.06686
Kenya,Generosity,0.41328
Ukraine,Economy (GDP per Capita),0.87287
Ukraine,Family,1.01413
Ukraine,Health (Life Expectancy),0.58628
Ukraine,Freedom,0.12859
Ukraine,Trust (Government Corruption),0.01829
Ukraine,Generosity,0.20363
Ghana,Economy (GDP per Capita),0.63107
Ghana,Family,0.49353
Ghana,Health (Life Expectancy),0.29681
Ghana,Freedom,0.40973
Ghana,Trust (Government Corruption),0.0326
Ghana,Generosity,0.21203
Congo (Kinshasa),Economy (GDP per Capita),0.05661
Congo (Kinshasa),Family,0.80676
Congo (Kinshasa),Health (Life Expectancy),0.188
Congo (Kinshasa),Freedom,0.15602
Congo (Kinshasa),Trust (Government Corruption),0.06075
Congo (Kinshasa),Generosity,0.25458
Georgia,Economy (GDP per Capita),0.83792
Georgia,Family,0.19249
Georgia,Health (Life Expectancy),0.64035
Georgia,Freedom,0.32461
Georgia,Trust (Government Corruption),0.3188
Georgia,Generosity,0.06786
Congo (Brazzaville),Economy (GDP per Capita),0.77109
Congo (Brazzaville),Family,0.47799
Congo (Brazzaville),Health (Life Expectancy),0.28212
Congo (Brazzaville),Freedom,0.37938
Congo (Brazzaville),Trust (Government Corruption),0.09753
Congo (Brazzaville),Generosity,0.12077
Senegal,Economy (GDP per Capita),0.44314
Senegal,Family,0.77416
Senegal,Health (Life Expectancy),0.40457
Senegal,Freedom,0.31056
Senegal,Trust (Government Corruption),0.11681
Senegal,Generosity,0.19103
Bulgaria,Economy (GDP per Capita),1.11306
Bulgaria,Family,0.92542
Bulgaria,Health (Life Expectancy),0.67806
Bulgaria,Freedom,0.21219
Bulgaria,Trust (Government Corruption),0.00615
Bulgaria,Generosity,0.12793
Mauritania,Economy (GDP per Capita),0.61391
Mauritania,Family,0.84142
Mauritania,Health (Life Expectancy),0.28639
Mauritania,Freedom,0.1268
Mauritania,Trust (Government Corruption),0.17955
Mauritania,Generosity,0.22686
Zimbabwe,Economy (GDP per Capita),0.35041
Zimbabwe,Family,0.71478
Zimbabwe,Health (Life Expectancy),0.1595
Zimbabwe,Freedom,0.25429
Zimbabwe,Trust (Government Corruption),0.08582
Zimbabwe,Generosity,0.18503
Malawi,Economy (GDP per Capita),0.08709
Malawi,Family,0.147
Malawi,Health (Life Expectancy),0.29364
Malawi,Freedom,0.4143
Malawi,Trust (Government Corruption),0.07564
Malawi,Generosity,0.30968
Sudan,Economy (GDP per Capita),0.63069
Sudan,Family,0.81928
Sudan,Health (Life Expectancy),0.29759
Sudan,Freedom,0
Sudan,Trust (Government Corruption),0.10039
Sudan,Generosity,0.18077
Gabon,Economy (GDP per Capita),1.15851
Gabon,Family,0.72368
Gabon,Health (Life Expectancy),0.3494
Gabon,Freedom,0.28098
Gabon,Trust (Government Corruption),0.09314
Gabon,Generosity,0.06244
Mali,Economy (GDP per Capita),0.31292
Mali,Family,0.86333
Mali,Health (Life Expectancy),0.16347
Mali,Freedom,0.27544
Mali,Trust (Government Corruption),0.13647
Mali,Generosity,0.21064
Haiti,Economy (GDP per Capita),0.34097
Haiti,Family,0.29561
Haiti,Health (Life Expectancy),0.27494
Haiti,Freedom,0.12072
Haiti,Trust (Government Corruption),0.14476
Haiti,Generosity,0.47958
Botswana,Economy (GDP per Capita),1.09426
Botswana,Family,0.89186
Botswana,Health (Life Expectancy),0.34752
Botswana,Freedom,0.44089
Botswana,Trust (Government Corruption),0.10769
Botswana,Generosity,0.12425
Comoros,Economy (GDP per Capita),0.27509
Comoros,Family,0.60323
Comoros,Health (Life Expectancy),0.29981
Comoros,Freedom,0.15412
Comoros,Trust (Government Corruption),0.18437
Comoros,Generosity,0.1827
Ivory Coast,Economy (GDP per Capita),0.55507
Ivory Coast,Family,0.57576
Ivory Coast,Health (Life Expectancy),0.04476
Ivory Coast,Freedom,0.40663
Ivory Coast,Trust (Government Corruption),0.1553
Ivory Coast,Generosity,0.20338
Cambodia,Economy (GDP per Capita),0.55604
Cambodia,Family,0.5375
Cambodia,Health (Life Expectancy),0.42494
Cambodia,Freedom,0.58852
Cambodia,Trust (Government Corruption),0.08092
Cambodia,Generosity,0.40339
Angola,Economy (GDP per Capita),0.84731
Angola,Family,0.66366
Angola,Health (Life Expectancy),0.04991
Angola,Freedom,0.00589
Angola,Trust (Government Corruption),0.08434
Angola,Generosity,0.12071
Niger,Economy (GDP per Capita),0.1327
Niger,Family,0.6053
Niger,Health (Life Expectancy),0.26162
Niger,Freedom,0.38041
Niger,Trust (Government Corruption),0.17176
Niger,Generosity,0.2097
South Sudan,Economy (GDP per Capita),0.39394
South Sudan,Family,0.18519
South Sudan,Health (Life Expectancy),0.15781
South Sudan,Freedom,0.19662
South Sudan,Trust (Government Corruption),0.13015
South Sudan,Generosity,0.25899
Chad,Economy (GDP per Capita),0.42214
Chad,Family,0.63178
Chad,Health (Life Expectancy),0.03824
Chad,Freedom,0.12807
Chad,Trust (Government Corruption),0.04952
Chad,Generosity,0.18667
Burkina Faso,Economy (GDP per Capita),0.31995
Burkina Faso,Family,0.63054
Burkina Faso,Health (Life Expectancy),0.21297
Burkina Faso,Freedom,0.3337
Burkina Faso,Trust (Government Corruption),0.12533
Burkina Faso,Generosity,0.24353
Uganda,Economy (GDP per Capita),0.34719
Uganda,Family,0.90981
Uganda,Health (Life Expectancy),0.19625
Uganda,Freedom,0.43653
Uganda,Trust (Government Corruption),0.06442
Uganda,Generosity,0.27102
Yemen,Economy (GDP per Capita),0.57939
Yemen,Family,0.47493
Yemen,Health (Life Expectancy),0.31048
Yemen,Freedom,0.2287
Yemen,Trust (Government Corruption),0.05892
Yemen,Generosity,0.09821
Madagascar,Economy (GDP per Capita),0.27954
Madagascar,Family,0.46115
Madagascar,Health (Life Expectancy),0.37109
Madagascar,Freedom,0.13684
Madagascar,Trust (Government Corruption),0.07506
Madagascar,Generosity,0.2204
Tanzania,Economy (GDP per Capita),0.47155
Tanzania,Family,0.77623
Tanzania,Health (Life Expectancy),0.357
Tanzania,Freedom,0.3176
Tanzania,Trust (Government Corruption),0.05099
Tanzania,Generosity,0.31472
Liberia,Economy (GDP per Capita),0.10706
Liberia,Family,0.50353
Liberia,Health (Life Expectancy),0.23165
Liberia,Freedom,0.25748
Liberia,Trust (Government Corruption),0.04852
Liberia,Generosity,0.24063
Guinea,Economy (GDP per Capita),0.22415
Guinea,Family,0.3109
Guinea,Health (Life Expectancy),0.18829
Guinea,Freedom,0.30953
Guinea,Trust (Government Corruption),0.1192
Guinea,Generosity,0.29914
Rwanda,Economy (GDP per Capita),0.32846
Rwanda,Family,0.61586
Rwanda,Health (Life Expectancy),0.31865
Rwanda,Freedom,0.5432
Rwanda,Trust (Government Corruption),0.50521
Rwanda,Generosity,0.23552
Benin,Economy (GDP per Capita),0.39499
Benin,Family,0.10419
Benin,Health (Life Expectancy),0.21028
Benin,Freedom,0.39747
Benin,Trust (Government Corruption),0.06681
Benin,Generosity,0.2018
Afghanistan,Economy (GDP per Capita),0.38227
Afghanistan,Family,0.11037
Afghanistan,Health (Life Expectancy),0.17344
Afghanistan,Freedom,0.1643
Afghanistan,Trust (Government Corruption),0.07112
Afghanistan,Generosity,0.31268
Togo,Economy (GDP per Capita),0.28123
Togo,Family,0
Togo,Health (Life Expectancy),0.24811
Togo,Freedom,0.34678
Togo,Trust (Government Corruption),0.11587
Togo,Generosity,0.17517
Syria,Economy (GDP per Capita),0.74719
Syria,Family,0.14866
Syria,Health (Life Expectancy),0.62994
Syria,Freedom,0.06912
Syria,Trust (Government Corruption),0.17233
Syria,Generosity,0.48397
Burundi,Economy (GDP per Capita),0.06831
Burundi,Family,0.23442
Burundi,Health (Life Expectancy),0.15747
Burundi,Freedom,0.0432
Burundi,Trust (Government Corruption),0.09419
Burundi,Generosity,0.2029
Norway,Economy (GDP per Capita),1.616463184
Norway,Family,1.53352356
Norway,Health (Life Expectancy),0.796666503
Norway,Freedom,0.635422587
Norway,Trust (Government Corruption),0.315963835
Norway,Generosity,0.362012237
Denmark,Economy (GDP per Capita),1.482383013
Denmark,Family,1.551121593
Denmark,Health (Life Expectancy),0.792565525
Denmark,Freedom,0.626006722
Denmark,Trust (Government Corruption),0.400770068
Denmark,Generosity,0.355280489
Iceland,Economy (GDP per Capita),1.48063302
Iceland,Family,1.610574007
Iceland,Health (Life Expectancy),0.833552122
Iceland,Freedom,0.627162635
Iceland,Trust (Government Corruption),0.153526559
Iceland,Generosity,0.475540221
Switzerland,Economy (GDP per Capita),1.564979553
Switzerland,Family,1.516911745
Switzerland,Health (Life Expectancy),0.858131289
Switzerland,Freedom,0.620070577
Switzerland,Trust (Government Corruption),0.367007285
Switzerland,Generosity,0.290549278
Finland,Economy (GDP per Capita),1.443571925
Finland,Family,1.540246725
Finland,Health (Life Expectancy),0.80915767
Finland,Freedom,0.617950857
Finland,Trust (Government Corruption),0.382611543
Finland,Generosity,0.245482773
Netherlands,Economy (GDP per Capita),1.503944635
Netherlands,Family,1.428939223
Netherlands,Health (Life Expectancy),0.810696125
Netherlands,Freedom,0.585384488
Netherlands,Trust (Government Corruption),0.282661825
Netherlands,Generosity,0.47048983
Canada,Economy (GDP per Capita),1.479204416
Canada,Family,1.481348991
Canada,Health (Life Expectancy),0.834557652
Canada,Freedom,0.611100912
Canada,Trust (Government Corruption),0.287371516
Canada,Generosity,0.435539722
New Zealand,Economy (GDP per Capita),1.405706048
New Zealand,Family,1.548195124
New Zealand,Health (Life Expectancy),0.816759706
New Zealand,Freedom,0.61406213
New Zealand,Trust (Government Corruption),0.382816702
New Zealand,Generosity,0.500005126
Sweden,Economy (GDP per Capita),1.494387269
Sweden,Family,1.478162169
Sweden,Health (Life Expectancy),0.830875158
Sweden,Freedom,0.612924099
Sweden,Trust (Government Corruption),0.384398729
Sweden,Generosity,0.385399252
Australia,Economy (GDP per Capita),1.484414935
Australia,Family,1.510041952
Australia,Health (Life Expectancy),0.843886793
Australia,Freedom,0.601607382
Australia,Trust (Government Corruption),0.30118373
Australia,Generosity,0.47769925
Israel,Economy (GDP per Capita),1.375382423
Israel,Family,1.376289964
Israel,Health (Life Expectancy),0.838404
Israel,Freedom,0.405988604
Israel,Trust (Government Corruption),0.0852421
Israel,Generosity,0.330082655
Costa Rica,Economy (GDP per Capita),1.109706283
Costa Rica,Family,1.416403651
Costa Rica,Health (Life Expectancy),0.759509265
Costa Rica,Freedom,0.58013165
Costa Rica,Trust (Government Corruption),0.100106589
Costa Rica,Generosity,0.214613229
Austria,Economy (GDP per Capita),1.487097263
Austria,Family,1.459944963
Austria,Health (Life Expectancy),0.815328419
Austria,Freedom,0.56776619
Austria,Trust (Government Corruption),0.221060365
Austria,Generosity,0.316472322
United States,Economy (GDP per Capita),1.546259284
United States,Family,1.419920564
United States,Health (Life Expectancy),0.774286628
United States,Freedom,0.505740523
United States,Trust (Government Corruption),0.135638788
United States,Generosity,0.392578781
Ireland,Economy (GDP per Capita),1.535706639
Ireland,Family,1.558231115
Ireland,Health (Life Expectancy),0.809782624
Ireland,Freedom,0.573110342
Ireland,Trust (Government Corruption),0.298388153
Ireland,Generosity,0.427858323
Germany,Economy (GDP per Capita),1.487923384
Germany,Family,1.472520351
Germany,Health (Life Expectancy),0.798950732
Germany,Freedom,0.562511384
Germany,Trust (Government Corruption),0.276731938
Germany,Generosity,0.33626917
